324.cat,Els creueristes també troben que Barcelona és una ciutat massificada pel turisme,,2023-06-12T10:45:00.000Z
324.cat,"Alves seguirà a presó: l'Audiència creu que l'empadronament dels fills ""s'ha fet per al·legar"" 
https://ccma.cat/324/alves-seguira-a-preso-laudiencia-creu-que-lempadronament-dels-fills-sha-fet-per-allegar/noticia/3234660/…",3,2023-06-12T10:32:33.000Z
324.cat," #ÚltimaHora Mor Silvio Berlusconi, exprimer ministre d'Itàlia amb una vida envoltada d'escàndols https://ccma.cat/324/mor-silvio-berlusconi-exprimer-ministre-ditalia-amb-una-vida-envoltada-descandols/noticia/3234640/…",249,2023-06-12T08:44:40.000Z
324.cat, En directe: Pere Aragonès anuncia canvis en el govern https://bit.ly/3N42Scz,3,2023-06-12T08:34:53.000Z
324.cat,"Comença a Cuelgamuros l'exhumació de 128 víctimes de la Guerra Civil i el franquisme
https://ccma.cat/324/comenca-a-cuelgamuros-lexhumacio-de-128-victimes-de-la-guerra-civil-i-el-franquisme/noticia/3234614/…",3,2023-06-12T08:20:00.000Z
324.cat,"La méteo del 
@324cat
, amb 
@gemmapuigf
  https://ccma.cat/tv3/alacarta/canal-324/el-temps-324-mati-12062023/video/6225708/… #ElTempsTV3",,2023-06-12T07:51:00.000Z
324.cat," #ÚltimaHora Pere Aragonès fa canvis al govern: surten Cambray, Fernàndez i Jordà i entren Simó, Capella i Mascort
https://ccma.cat/324/aragones-anunciara-aquest-mati-els-canvis-de-govern-que-afectaran-tres-conselleries/noticia/3234620/…",131,2023-06-12T07:28:28.000Z
324.cat,"La Natàlia Pla té ara 7 anys i és una de les primeres nenes de Catalunya que ja prenen diàriament el Voxzogo, un fàrmac per a persones amb acondroplàsia: ""Estic molt feliç""",,2023-06-12T09:00:00.000Z
324.cat," #ÚltimaHora Aragonès anunciarà aquest matí els canvis de govern, que afectaran tres conselleries https://ccma.cat/324/aragones-anunciara-aquest-mati-els-canvis-de-govern-que-afectaran-tres-conselleries/noticia/3234620/…",29,2023-06-12T07:06:08.000Z
324.cat,"Dilluns assolellat ara al matí, i a la tarda es repetiran els ruixats i les  tempestes  https://ccma.cat/el-temps/dilluns-es-mante-la-inestabilitat-amb-algunes-tempestes-mes/noticia/3234537/… #ElTempsTV3  Pantà de la Llosa del Cavall, Josep M. Coll",1,2023-06-12T06:31:00.000Z
324.cat,"El pont ensorrat a Filadèlfia, de quatre carrils de circulació, ha caigut després que un vehicle de gran volum s'hagi incendiat just a sota.",,2023-06-12T06:24:00.000Z
324.cat,"En una jornada organitzada per l'Assemblea Pagesa, es demana una gestió hídrica que involucri tothom i adaptada a la tendència climàtica",2,2023-06-12T06:18:00.000Z
324.cat,"L’alcalde de Moralzarzal, on vivien les quatre noies mortes en un accident de trànsit a Madrid, ha lamentat que la carretera on ha passat l’accident és perillosa i molt utilitzada per camions per enllaçar dues autopistes",3,2023-06-11T20:40:00.000Z
324.cat,"Els vídeos de l’agressió aquesta nit passada al metro de Barcelona mostren cops de puny, puntades de peu, insults i comentaris com ""surt d'aquí"", ""comporta't"" o ""deixa de fer el ridícul""",21,2023-06-11T20:30:00.000Z
324.cat,Infants amb acondroplàsia: un nou fàrmac els pot ajudar a créixer fins a 15 centímetres més https://ccma.cat/324/infants-amb-acondroplasia-un-nou-farmac-els-pot-ajudar-a-creixer-fins-a-15-centimetres-mes/noticia/3234602/…,18,2023-06-11T20:23:00.000Z
324.cat,On és l'aigua? És la pregunta que es fa la pagesia davant l'escassedat de reserves de la conca del Segre i que ha portat els canals d'Urgell i Segarra-Garrigues a tancar el reg,3,2023-06-11T20:17:00.000Z
324.cat,"Un veí d’Andújar, a Andalusia, ha estat mort a trets per un policia nacional després que deixés ferit mortalment un altre agent quan anaven a intervenir en una baralla",3,2023-06-11T20:15:00.000Z
324.cat,"Els organitzadors del festival diuen que han ""superat els contratemps inicials"" i els concerts acullen més de 90.000 espectadors",,2023-06-11T19:55:00.000Z
324.cat,Els grups que es dediquen a robar rellotges de luxe normalment són màfies internacionals,4,2023-06-11T19:20:00.000Z
324.cat,On és l'aigua? És la pregunta que es fa la pagesia davant l'escassedat de reserves de la conca del Segre i que ha portat els canals d'Urgell i Segarra-Garrigues a tancar el reg,3,2023-06-11T20:17:00.000Z
324.cat,"Un veí d’Andújar, a Andalusia, ha estat mort a trets per un policia nacional després que deixés ferit mortalment un altre agent quan anaven a intervenir en una baralla",3,2023-06-11T20:15:00.000Z
324.cat,"Els organitzadors del festival diuen que han ""superat els contratemps inicials"" i els concerts acullen més de 90.000 espectadors",,2023-06-11T19:55:00.000Z
324.cat,Els grups que es dediquen a robar rellotges de luxe normalment són màfies internacionals,4,2023-06-11T19:20:00.000Z
324.cat,"“Mai et penses que un fill tindrà càncer”. El Pol tenia dos anys quan li van detectar un càncer avançat. El van tractar a Sant Joan de Déu, l’únic centre especialitzat en càncer infantil d’Espanya. Va ser el primer al món a fer l’assaig d’una immunoteràpia https://tinyurl.com/223v9r2t",122,2023-06-11T18:55:00.000Z
324.cat,"Shannen Doherty, de ""Sensación de vivir"", revela que té metàstasi al cervell: ""Estic aterrida"" -",1,2023-06-11T18:50:00.000Z
324.cat,"Suspès del càrrec l'ambaixador de Romania a Kènia. Era en una reunió a Nairobi quan va veure un mico a l'altra banda de la finestra i va dir: ""El grup africà ja se'ns ha unit""",19,2023-06-11T18:40:00.000Z
324.cat,Abans i després de la destrucció: imatges des de l'aire de la devastació a la presa d'Ucraïna,,2023-06-11T18:30:00.000Z
324.cat,"Moren quatre noies en un accident de trànsit a Madrid
https://ccma.cat/324/quatre-noies-moren-en-un-accident-de-transit-a-madrid/noticia/3234536/…",11,2023-06-11T10:46:05.000Z
324.cat,Els Mossos detenen un home per la mort violenta de la seva parella aquesta matinada a Cornellà de Llobregat,4,2023-06-11T10:30:00.000Z
324.cat,"Els arqueòlegs trauran del mar el vaixell de Zambratija, el més antic totalment cosit a mà de la Mediterrània",7,2023-06-11T10:20:00.000Z
324.cat,"Un adolescent mort i tres persones més ferides en un tiroteig al sud d'Estocolm
https://ccma.cat/324/un-mort-i-tres-ferits-en-un-tiroteig-al-sud-destocolm/noticia/3234514/…",1,2023-06-11T10:10:00.000Z
324.cat,"El turisme de festivals de música i concerts ha deixat a l'Estat 459 milions d'euros, un 190% més que el 2021",10,2023-06-11T10:00:02.000Z
324.cat,L'Àrtic es podria quedar sense gel a l'estiu a partir de la dècada del 2030,17,2023-06-11T09:45:00.000Z
324.cat,L'Ajuntament de Vallirana demana a la Generalitat poder connectar-se a la xarxa Ter-Llobregat i resoldre la falta d'aigua potable al municipi,2,2023-06-11T09:30:00.000Z
324.cat,"""La IA ha de venir a resoldre problemes i a facilitar les tasques, no a l'inrevés"", diu Simona Levi, d'
@X_net_",4,2023-06-11T09:18:55.000Z
324.cat,La recerca científica conclou que la llum blava que irradien les pantalles accelera l'envelliment de la pell i recomana fer servir protecció solar per impedir que apareguin taques o empitjorin,47,2023-06-11T09:00:01.000Z
324.cat,La rendibilitat de les Lletres del Tresor arriba al punt més alt de l'última dècada,1,2023-06-11T08:50:00.000Z
324.cat,"Mor una dona de 75 anys quan es banyava a la cala Canyelles de Lloret de Mar
https://ccma.cat/324/mor-una-dona-de-75-anys-quan-es-banyava-a-la-cala-canyelles-de-lloret-de-mar/noticia/3234525/…",7,2023-06-11T08:43:54.000Z
324.cat,L'aigua de Vallirana ha deixat de ser potable per un canvi de normativa aprovat pel govern espanyol al gener: hi ha excés de sulfats,8,2023-06-11T08:30:00.000Z
324.cat,"La dieta dels rincosaures, basada en plantes dures, desgastava les seves dents fins que, quan eren grans, els científics creuen que morien de gana per la dificultat d’alimentar-se",4,2023-06-11T08:15:00.000Z
324.cat,Tenir unes vacances ja contractades permetrà no ser a la mesa electoral el 23J,,2023-06-11T08:00:00.000Z
324.cat,"Fer mindfulness durant l'embaràs, un aliat per reduir preeclàmpsies i baix pes del nadó",,2023-06-11T07:45:00.000Z
324.cat,"Avís de tempestes fortes. La méteo del 
@324cat
 amb 
@enricagud
 http://shorturl.at/iuKNO #EltempsTV3",1,2023-06-11T07:36:00.000Z
324.cat,"Vilassar de Dalt torna a ser l’escenari del festival de fotografia analògica Revela’t. Ramon Masats, de 94 anys, és el fotògraf homenatjat en aquesta onzena edició, amb l'exposició ""Visit Spain"", amb fotos dels anys 50 i 60",1,2023-06-11T07:30:00.000Z
324.cat," #ÚltimaHora Detingut un home per l'assassinat de la seva parella a Cornellà de Llobregat
https://ccma.cat/324/detingut-un-home-per-lassassinat-de-la-seva-parella-a-cornella-de-llobregat/noticia/3234520/…",72,2023-06-11T07:24:42.000Z
324.cat,On és l'aigua? És la pregunta que es fa la pagesia davant l'escassedat de reserves de la conca del Segre i que ha portat els canals d'Urgell i Segarra-Garrigues a tancar el reg,3,2023-06-11T20:17:00.000Z
324.cat,"Un veí d’Andújar, a Andalusia, ha estat mort a trets per un policia nacional després que deixés ferit mortalment un altre agent quan anaven a intervenir en una baralla",3,2023-06-11T20:15:00.000Z
324.cat,"Els organitzadors del festival diuen que han ""superat els contratemps inicials"" i els concerts acullen més de 90.000 espectadors",,2023-06-11T19:55:00.000Z
324.cat,Els grups que es dediquen a robar rellotges de luxe normalment són màfies internacionals,4,2023-06-11T19:20:00.000Z
324.cat,"“Mai et penses que un fill tindrà càncer”. El Pol tenia dos anys quan li van detectar un càncer avançat. El van tractar a Sant Joan de Déu, l’únic centre especialitzat en càncer infantil d’Espanya. Va ser el primer al món a fer l’assaig d’una immunoteràpia https://tinyurl.com/223v9r2t",122,2023-06-11T18:55:00.000Z
324.cat,"Shannen Doherty, de ""Sensación de vivir"", revela que té metàstasi al cervell: ""Estic aterrida"" -",1,2023-06-11T18:50:00.000Z
324.cat,"Suspès del càrrec l'ambaixador de Romania a Kènia. Era en una reunió a Nairobi quan va veure un mico a l'altra banda de la finestra i va dir: ""El grup africà ja se'ns ha unit""",19,2023-06-11T18:40:00.000Z
324.cat,Abans i després de la destrucció: imatges des de l'aire de la devastació a la presa d'Ucraïna,,2023-06-11T18:30:00.000Z
324.cat,"Moren quatre noies en un accident de trànsit a Madrid
https://ccma.cat/324/quatre-noies-moren-en-un-accident-de-transit-a-madrid/noticia/3234536/…",11,2023-06-11T10:46:05.000Z
324.cat,Els Mossos detenen un home per la mort violenta de la seva parella aquesta matinada a Cornellà de Llobregat,4,2023-06-11T10:30:00.000Z
324.cat,"Els arqueòlegs trauran del mar el vaixell de Zambratija, el més antic totalment cosit a mà de la Mediterrània",7,2023-06-11T10:20:00.000Z
324.cat,"Un adolescent mort i tres persones més ferides en un tiroteig al sud d'Estocolm
https://ccma.cat/324/un-mort-i-tres-ferits-en-un-tiroteig-al-sud-destocolm/noticia/3234514/…",1,2023-06-11T10:10:00.000Z
324.cat,"El turisme de festivals de música i concerts ha deixat a l'Estat 459 milions d'euros, un 190% més que el 2021",10,2023-06-11T10:00:02.000Z
324.cat,L'Àrtic es podria quedar sense gel a l'estiu a partir de la dècada del 2030,17,2023-06-11T09:45:00.000Z
324.cat,L'Ajuntament de Vallirana demana a la Generalitat poder connectar-se a la xarxa Ter-Llobregat i resoldre la falta d'aigua potable al municipi,2,2023-06-11T09:30:00.000Z
324.cat,"""La IA ha de venir a resoldre problemes i a facilitar les tasques, no a l'inrevés"", diu Simona Levi, d'
@X_net_",4,2023-06-11T09:18:55.000Z
324.cat,La recerca científica conclou que la llum blava que irradien les pantalles accelera l'envelliment de la pell i recomana fer servir protecció solar per impedir que apareguin taques o empitjorin,47,2023-06-11T09:00:01.000Z
324.cat,La rendibilitat de les Lletres del Tresor arriba al punt més alt de l'última dècada,1,2023-06-11T08:50:00.000Z
324.cat,"Mor una dona de 75 anys quan es banyava a la cala Canyelles de Lloret de Mar
https://ccma.cat/324/mor-una-dona-de-75-anys-quan-es-banyava-a-la-cala-canyelles-de-lloret-de-mar/noticia/3234525/…",7,2023-06-11T08:43:54.000Z
324.cat,L'aigua de Vallirana ha deixat de ser potable per un canvi de normativa aprovat pel govern espanyol al gener: hi ha excés de sulfats,8,2023-06-11T08:30:00.000Z
324.cat,"La dieta dels rincosaures, basada en plantes dures, desgastava les seves dents fins que, quan eren grans, els científics creuen que morien de gana per la dificultat d’alimentar-se",4,2023-06-11T08:15:00.000Z
324.cat,Tenir unes vacances ja contractades permetrà no ser a la mesa electoral el 23J,,2023-06-11T08:00:00.000Z
324.cat,"Fer mindfulness durant l'embaràs, un aliat per reduir preeclàmpsies i baix pes del nadó",,2023-06-11T07:45:00.000Z
324.cat,"Avís de tempestes fortes. La méteo del 
@324cat
 amb 
@enricagud
 http://shorturl.at/iuKNO #EltempsTV3",1,2023-06-11T07:36:00.000Z
324.cat,"Vilassar de Dalt torna a ser l’escenari del festival de fotografia analògica Revela’t. Ramon Masats, de 94 anys, és el fotògraf homenatjat en aquesta onzena edició, amb l'exposició ""Visit Spain"", amb fotos dels anys 50 i 60",1,2023-06-11T07:30:00.000Z
324.cat," #ÚltimaHora Detingut un home per l'assassinat de la seva parella a Cornellà de Llobregat
https://ccma.cat/324/detingut-un-home-per-lassassinat-de-la-seva-parella-a-cornella-de-llobregat/noticia/3234520/…",72,2023-06-11T07:24:42.000Z
324.cat,"#ÚltimaHora Pacte a Ripoll perquè no governi l'Aliança Catalana de Sílvia Orriols, d'extrema dreta https://ccma.cat/324/pacte-a-ripoll-perque-no-governi-lalianca-catalana-de-silvia-orriols-dextrema-dreta/noticia/3234708/…",9,2023-06-12T11:42:08.000Z
324.cat,"Pere Aragonès ha comparegut aquest dilluns al matí per anunciar els canvis al govern: ""El motiu és que cal encarar els pròxims dos anys amb energies renovades""",2,2023-06-12T11:31:27.000Z
324.cat,Els creueristes també troben que Barcelona és una ciutat massificada pel turisme,,2023-06-12T10:45:00.000Z
324.cat,"Alves seguirà a presó: l'Audiència creu que l'empadronament dels fills ""s'ha fet per al·legar"" 
https://ccma.cat/324/alves-seguira-a-preso-laudiencia-creu-que-lempadronament-dels-fills-sha-fet-per-allegar/noticia/3234660/…",3,2023-06-12T10:32:33.000Z
324.cat,"La mare dels 4 nens desapareguts a la selva amazònica durant 40 dies no va morir a l'acte, sinó 4 dies després de l'accident d'avió. Abans de morir, va dir a la filla gran que marxessin per buscar ajuda",4,2023-06-12T10:10:00.000Z
324.cat,Violència policial als EUA: un noi negre de 14 anys mor d'un tret quan estava reduït https://ccma.cat/324/violencia-policial-als-eua-un-noi-negre-de-14-anys-mor-dun-tret-quan-estava-reduit/noticia/3234615/…,10,2023-06-12T09:40:00.000Z
324.cat,"Els habitants del neolític van fer les primeres flautes, trobades en un jaciment prehistòric a Israel, per espantar ocells i caçar-los",3,2023-06-12T09:33:00.000Z
324.cat,Primeres imatges del rescat dels 4 nens que van sobreviure 40 dies a la selva amazònica https://ccma.cat/324/primeres-imatges-del-rescat-dels-4-nens-que-van-sobreviure-40-dies-a-la-selva-amazonica/noticia/3234618/…,6,2023-06-12T09:06:49.000Z
324.cat,"La Natàlia Pla té ara 7 anys i és una de les primeres nenes de Catalunya que ja prenen diàriament el Voxzogo, un fàrmac per a persones amb acondroplàsia: ""Estic molt feliç""",,2023-06-12T09:00:00.000Z
324.cat," #ÚltimaHora Mor Silvio Berlusconi, exprimer ministre d'Itàlia amb una vida envoltada d'escàndols https://ccma.cat/324/mor-silvio-berlusconi-exprimer-ministre-ditalia-amb-una-vida-envoltada-descandols/noticia/3234640/…",249,2023-06-12T08:44:40.000Z
324.cat, En directe: Pere Aragonès anuncia canvis en el govern https://bit.ly/3N42Scz,3,2023-06-12T08:34:53.000Z
324.cat,"Comença a Cuelgamuros l'exhumació de 128 víctimes de la Guerra Civil i el franquisme
https://ccma.cat/324/comenca-a-cuelgamuros-lexhumacio-de-128-victimes-de-la-guerra-civil-i-el-franquisme/noticia/3234614/…",3,2023-06-12T08:20:00.000Z
324.cat,"La méteo del 
@324cat
, amb 
@gemmapuigf
  https://ccma.cat/tv3/alacarta/canal-324/el-temps-324-mati-12062023/video/6225708/… #ElTempsTV3",,2023-06-12T07:51:00.000Z
324.cat," #ÚltimaHora Pere Aragonès fa canvis al govern: surten Cambray, Fernàndez i Jordà i entren Simó, Capella i Mascort
https://ccma.cat/324/aragones-anunciara-aquest-mati-els-canvis-de-govern-que-afectaran-tres-conselleries/noticia/3234620/…",131,2023-06-12T07:28:28.000Z
324.cat," #ÚltimaHora Aragonès anunciarà aquest matí els canvis de govern, que afectaran tres conselleries https://ccma.cat/324/aragones-anunciara-aquest-mati-els-canvis-de-govern-que-afectaran-tres-conselleries/noticia/3234620/…",29,2023-06-12T07:06:08.000Z
324.cat,"Dilluns assolellat ara al matí, i a la tarda es repetiran els ruixats i les  tempestes  https://ccma.cat/el-temps/dilluns-es-mante-la-inestabilitat-amb-algunes-tempestes-mes/noticia/3234537/… #ElTempsTV3  Pantà de la Llosa del Cavall, Josep M. Coll",1,2023-06-12T06:31:00.000Z
324.cat,"El pont ensorrat a Filadèlfia, de quatre carrils de circulació, ha caigut després que un vehicle de gran volum s'hagi incendiat just a sota.",,2023-06-12T06:24:00.000Z
324.cat,"En una jornada organitzada per l'Assemblea Pagesa, es demana una gestió hídrica que involucri tothom i adaptada a la tendència climàtica",2,2023-06-12T06:18:00.000Z
324.cat,"Comença el judici per l'assassinat de tres sensesostre a Barcelona durant el confinament
https://ccma.cat/324/comenca-el-judici-per-lassassinat-de-tres-sensesostre-a-barcelona-durant-el-confinament/noticia/3234612/…",2,2023-06-12T06:11:23.000Z
324.cat,"Els ajuntaments d’Andújar i de Marmolejo, els municipis andalusos on han passat els fets i on vivia el policia mort, han decretat tres dies de dol oficial",1,2023-06-12T06:06:00.000Z
324.cat,"""Jo no en soc partidària"": l’expresidenta del Parlament Laura Borràs no veu de bon ull un pacte de Junts, ERC, PSC i CUP per impedir que Aliança Catalana governi a Ripoll",13,2023-06-12T06:00:00.000Z
324.cat,"Des de fa unes setmanes ja s'administra a Catalunya el Voxzogo, el nou medicament que permet a les persones que tenen acondroplàsia créixer cada any un centímetre i mig més",10,2023-06-12T05:55:00.000Z
324.cat,"Les flautes més antigues del món estan fetes amb ossos d'ocell i tenen 12.000 anys
https://ccma.cat/324/les-flautes-mes-antigues-del-mon-estan-fetes-amb-ossos-docell-i-tenen-12000-anys/noticia/3234443/…",12,2023-06-12T05:50:00.000Z
324.cat,"Els Mossos investiguen una agressió la nit de dissabte en un vagó del metro de Barcelona, i per la qual l'Ajuntament de Barcelona ha activat el protocol contra l'LGTBI-fòbia",6,2023-06-12T05:45:00.000Z
