Domènec Subirà,"L’artilleria russa ha tornat a bombardejar amb morter el centre inundat de #Kherson. Acabavem 
@Catinformacio
 d’entrevistar aquest capellà q cada dia dia porta provisions als seus parroquians q no han volgut ser evacuats.
https://ccma.cat/catradio/directe/catalunya-informacio/…",2,2023-06-09T14:43:40.000Z
Catalunya Informació, Els inversors es refugien en valors alternatius com les peces d'art,,2023-06-09T15:05:00.000Z
CatInfo Girona,"El possible pacte entre la CUP, el PSC i Esquerra per fer fora Junts de l'alcaldia d'Olot s'enroca.

 El PSC ha exigit tenir l'alcaldia durant mig mandat. Cupaires i republicans s'hi neguen.

http://catradio.cat/catinfo",2,2023-06-09T14:51:20.000Z
Catalunya Informació,"#ÚltimaHora La tempesta que ha caigut a #Montserrat ha provocat una forta esllavissada al darrera de l'hotel Abat Cisneros. Han evacuat l'hotel preventivament i no consten danys estructurals ni ferits

https://ccma.cat/catradio/directe/catalunya-informacio/…",30,2023-06-09T13:51:03.000Z
Catalunya Informació,"Dels més de 2 milions de tones de residus plàstics que es generen a Espanya cada any, només se'n reciclen la meitat. Malgrat tot, l'estat espanyol és el segon país d'Europa, només per darrere d'Alemanya, amb més plàstic reciclat",1,2023-06-09T13:15:00.000Z
Catalunya Informació," La sardana s'ha rejovenit. Ara es balla, fins i tot, a les discoteques. 

 Els més joves també s'atreveixen a compondre'n. 

 Parlem amb el compositor de sardanes més jove de Catalunya. 

 Pots llegir-ho aquí: https://ccma.cat/catradio/catalunya-al-dia/compondre-sardanes-amb-14-anys-un-talent-precoc-al-solsones/noticia/3233952/…",,2023-06-09T13:10:00.000Z
Catalunya Informació,"#ÚltimaHora Nous bombardejos a Kherson dificulten la feina dels equips de rescat i ajuda humanitària a la ciutat inundada. 

Ho constata l'equip d'enviats especials a Ucraïna, Domènec Subirà 
@dsubiraq
 i José Antonio Muñoz.
http://catradio.cat/catinfo",3,2023-06-09T12:31:35.000Z
Catalunya migdia,"Ara al 
@Catmigdia
- Anna Erra és la nova presidenta del Parlament

- Aval de la militància de Podem per negociar contra rellotge una coalició amb Sumar

- La prèvia de la final de Champions entre l'Inter i el City",1,2023-06-09T12:00:02.000Z
CatInfo Girona," Neix a Figueres ""Soroll Off"", una plataforma per conscienciar dels perjudicis que provoquen els petards en diversos col·lectius. 

 Denuncien indefensió legal i reclamen més civisme als que comencen a llençar petards un mes abans de la revetlla. ",3,2023-06-09T11:57:40.000Z
Catalunya Informació," Les vendes de cosmètica coreana estan disparades a Catalunya. Les exportacions d'aquests productes cap a l'estat espanyol han crescut un 229% en l'últim any

 Aquí t'expliquem el perquè del boom ",1,2023-06-09T12:00:02.000Z
Catalunya Informació,"Què menjarem, amb tanta calor i sense aigua?",,2023-06-09T11:50:00.000Z
CatInfo Lleida," Els empresaris de Lleida i el Pirineu alerten que cada vegada tenen més problemes per trobar talent local i personal qualificat per treballar al territori. 

 És una de les conclusions de la 
@trobadapirineu
, que es fa a la Seu d'Urgell.

 http://catradio.cat/catinfo",2,2023-06-09T11:19:43.000Z
Catalunya Informació," En directe. Primeres paraules d'Anna Erra com a presidenta del Parlament

http://catradio.cat/catinfo",3,2023-06-09T10:58:13.000Z
Catalunya Informació,"A les 13h el #CatalunyaAlDia amb 
@Romagosamarta
 
Destaquem
-Sanció per a l'encarregat de la seguretat el dia de l'accident a la mina de Súria
-Detingut el cap d'un grup violent lligat al Barça
-Sandra Guaita (PSC), nova alcaldessa de Reus
Escolta'ns aquí",,2023-06-09T10:58:00.000Z
Catalunya Informació," #ÚltimaHora Anna Erra, elegida nova presidenta del Parlament.

http://catradio.cat/catinfo",9,2023-06-09T10:55:41.000Z
CatInfo Girona," L'hospital Trueta de Girona busca joves d'entre 12 i 17 anys per provar la vacuna d'Hipra contra la Covid.

 Volen estudiar si la dosi de reforç augmenta les defenses i és ben tolerada en adolescents que hagin rebut dues dosis anteriors de Pfizer.

 http://catradio.cat/catinfo",3,2023-06-09T10:39:54.000Z
Catalunya Informació,"Acaba el registre dels Mossos d’Esquadra a Vallirana amb la detenció d’un membre principal dels Càsuals, un grup ultra seguidor del Barça. La macrooperació ha fet, almenys, 16 detinguts més. http://catradio.cat/catinfo",8,2023-06-09T10:45:45.000Z
Catalunya Informació," #ÚltimaHora Les bases de Podem avalen amb un 93% de suport que la direcció tanqui un acord amb Sumar.

http://catradio.cat/catinfo",2,2023-06-09T10:04:08.000Z
Catalunya Informació," El ""nen prodigi"" de les sardanes a Catalunya.

 Jordi Montanyà, de Solsona, només té 14 anys i ja ha compost una sardana per a cobla:",6,2023-06-09T09:55:00.000Z
CatInfo Lleida,".
@JARC_COAG
  ha respost a la crida que els 
@agentsruralscat
  han fet perquè els pagesos llaurin els camps on no preveuen produir perquè facin de tallafocs.
Diuen que hi ha una normativa europea que impedeix llaurar abans de l'1 de setembre.
https://ccma.cat/catradio/directe/catalunya-informacio/…",7,2023-06-09T09:51:00.000Z
CatInfo Girona,"Assagen un producte per allunyar els cabirols dels camps de fesols de Santa Pau.

 
@accioclimatica
 diu que el repel•lent ha donat bon resultat a les vinyes del Priorat i Penedès.

 Es creu que a la Garrotxa hi ha una Densitat de 5 cabirols per km2

http://catradio.cat/catinfo",1,2023-06-09T09:31:14.000Z
CatInfo Tgn-Ebre,"La socialista Sandra Guaita serà alcaldessa de Reus amb el suport de la majoria del plenari després de tancar un acord amb ERC, el tercer soci de govern. Els republicans justifiquen l'entesa amb la necessitat de fer un govern fort

Més notícies a:
http://catradio.cat/tarragona",2,2023-06-09T09:40:46.000Z
CatInfo Lleida," ERC i PSC pacten un ""govern de progrés"" a #Almenar, al #Segrià

 L’acord suposarà tres anys d’alcaldia per a la republicana Maria Teresa Malla i un any per al socialista Sebastià Noguero

 Més informacions de territori: http://catradio.cat/lleida",2,2023-06-09T09:04:04.000Z
CatInfo Tgn-Ebre,"Territori adjudica la construcció d'una passarel·la per a vianants i ciclistes sobre la T-315 a Reus, al Baix Camp. Les obres, que tenen un pressupost 1,3 M€, començaran el segon semestre d'aquest any

Més notícies territorials a:
http://catradio.cat/tarragona",3,2023-06-09T08:57:35.000Z
Domènec Subirà,"Abans d sortir 
@Catinformacio
 cap a Kherson una ONG local ens demana que els portem gàbies portàtils pels animals q rescaten. 
https://ccma.cat/catradio/directe/catalunya-informacio/…",4,2023-06-09T08:38:54.000Z
Catalunya Informació,"17 detencions en 14 entrades i registres en un macrooperatiu dels Mossos d'Esquadra per desmantellar l'activitat dels Càsuals, un grup d'aficionats violents del Barça. El dispositiu ha començat aquesta matinada a l'àrea metropolitana de Barcelona http://catradio.cat/catinfo",1,2023-06-09T08:33:22.000Z
CatInfo Tgn-Ebre,"El macrooperatiu especial dels Mossos aquesta matinada en tres punts de l'AP-7 a Vandellòs i l'Hospitalet de l'Infant, al Baix Camp, per evitar el transport de drogues acaba amb 31 conductors denunciats i 37 identificats

Més notícies territorials a:
http://catradio.cat/tarragona",3,2023-06-09T07:17:41.000Z
CatInfo Girona," Primera ruta turística per la muralla de Girona, adaptada per a persones amb mobilitat reduïda.

 S'ha fet en col·laboració amb 
@GrupMifas
, fent servir una cadira adaptada.

 Una prova pilot per potenciar el turisme inclusiu a la ciutat

http://catradio.cat/girona",3,2023-06-09T07:04:41.000Z
Catalunya Informació, Quan el suposat remei acaba sent pitjor que la malaltia,2,2023-06-09T07:07:00.000Z
