UserName,Text,RetweetCount,Timestamp
SEM. Generalitat,"#SEMES2023: Nova defensa de pòster: la Mireia Montané, infermera del #SEM, sota el títol ""Rol de la enfermera en la atención del código infarto"".
@SEMES_",2,2023-06-09T10:21:46.000Z
SEM. Generalitat,": Imatges del Simulacre de despatx d’incendi forestal, celebrat a Corbera de Llobregat. Cossos actuants: 
@bomberscat
 zona Metro Sud, 
@mossos
, #SEM, Policies locals, 
@emergenciescat
 i 
@adfcat
 del Baix Llobregat.",1,2023-06-09T10:20:02.000Z
SEM. Generalitat,"#EstàPassant: En Pep Mora, del #SEM, de la base Althaia a #Manresa, presentant ""Atención prehospitalaria al paciente con patologia psiquiátrica urgente"".
 
#SEMES2023",1,2023-06-09T10:14:52.000Z
SEM. Generalitat," nova jornada a #SEMES2023:
“El síncope, una patologia més freqüent en dones, però les tractem igual?”, presentat per Francesc Carmona Jiménez. Comunicació oral, treball fet conjuntament #SEM i Hosp. Vall d'Hebron, serveis de cardiologia, hepatologia i medicina interna.
@SEMES_",5,2023-06-08T07:19:47.000Z
SEM. Generalitat," #Moments #SEMES2023 :
Gemma Ferrando, infermera del #SEM, participant a la taula ‘Triaje: distintos escenarios’, amb la ponència ‘Modelos de triaje, de la teoría a la práctica’.
@SEMES_",2,2023-06-09T09:43:11.000Z
SEM. Generalitat," Nova Taula a #SEMES2023, ""UAV como nuevas tecnologías de atención sanitaria en urgencias y emergencias sanitarias"". Hi participa com a ponent en Rafael Cáliz Muñoz, amb ""Triaje Sanitario con UAV"".
@SEMES_",2,2023-06-09T09:50:22.000Z
SEM. Generalitat," La Unitat de Mitjans Aeris permet garantir l'accés al sistema sanitari públic de tota la població de Catalunya, especialment en les zones allunyades dels hospitals on s'atenen els casos complexos.

Vols saber més sobre aquesta unitat del #SEM?  https://tinyurl.com/3t52rm6e",2,2023-06-09T06:20:14.000Z
SEM. Generalitat,"Desplegament del #SEM i 
@CreuRojaCAT
 per 
@lapatum
 de #Berga de 2023, garantint la millor resposta a la urgència i emergència. 
 Prepareu-vos per gaudir d’uns dies intensos d'activitats per a tots els públics!
 Viu la festa dels sentits i dels sentiments!
@emergenciescat",4,2023-06-08T20:41:31.000Z
Bombers,"L' #ENRAT2023 té dues disciplines: excarceració i trauma.
En la categoria de Trauma hi participen 12 equips entre els quals hi ha 2 equips amb #bomberscat: un equip  amb 2 bombers del #GROS i un equip format per un bomber del #GROS i una sanitària del 
@semgencat
.",2,2023-06-08T20:06:07.000Z
xavi pb,"Quins cracks la gent del 
@semgencat
 aterrant l'helicòpter a un lloc just, posiblement fàcil per ells, a vegades l'efècte óptic enganya. Accident a la C-65 4/12/16. 
@bomberscat",10,2023-06-08T11:56:50.000Z
Ministerio de Sanidad," El ministro 
@jose_minones
 traslada a 
@SEMES_
 el inicio del trámite de consulta pública para el RD por el que se establece la nueva especialidad de Medicina de Urgencias y Emergencias

#SEMES2023",102,2023-06-07T17:10:35.000Z
